# timestamp x y z qx qy qz qw num_features num_matches num_inliers
1336387003.404536963 -2.76727 3.54404 0.266213 0.0844953 0.0341247 -0.751869 0.652985 1848 501 472
1336387003.503774881 -2.79139 3.55116 0.263969 0.0845976 0.0346233 -0.753452 0.651118 1740 483 458
1336387003.603011847 -2.81111 3.55859 0.261845 0.0857783 0.0339487 -0.755254 0.648908 1592 445 433
1336387003.702247858 -2.83602 3.56573 0.259397 0.0855486 0.0342098 -0.757032 0.646849 1524 414 394
1336387003.801486015 -2.86263 3.57361 0.258534 0.0846912 0.034956 -0.758966 0.644652 1502 409 397
1336387003.900722027 -2.88761 3.58064 0.25732 0.0840887 0.0351257 -0.76052 0.642887 1362 381 363
1336387003.999959946 -2.91281 3.5888 0.256872 0.0832638 0.0358979 -0.761602 0.641671 1307 359 344
1336387004.099195957 -2.92799 3.59328 0.254069 0.0841314 0.0336233 -0.761985 0.641225 1259 356 344
1336387004.198432922 -2.95063 3.59765 0.253147 0.0827726 0.0333113 -0.762119 0.641259 1160 341 328
1336387004.297669888 -2.97332 3.60183 0.252123 0.0810607 0.0332517 -0.76205 0.641563 1104 309 291
1336387004.396908045 -2.99083 3.6054 0.25072 0.0804118 0.0321659 -0.761448 0.642414 1076 299 289
1336387004.496144056 -3.00212 3.6062 0.247719 0.0806241 0.0293659 -0.760296 0.643884 1043 285 274
1336387004.595381021 -3.01799 3.60668 0.24566 0.0794409 0.0281079 -0.758583 0.646104 998 292 280
1336387004.694617987 -3.03022 3.6043 0.243574 0.0784256 0.0260135 -0.756492 0.648762 959 256 246
1336387004.793854952 -3.04113 3.60346 0.241617 0.0777453 0.0244506 -0.754375 0.651364 941 255 242
1336387004.893091917 -3.05006 3.60177 0.239743 0.0775012 0.0230217 -0.751805 0.65441 912 265 252
1336387004.992328882 -3.05827 3.59706 0.237224 0.0766687 0.0213136 -0.749225 0.657518 911 244 234
1336387005.091565847 -3.06897 3.59418 0.236433 0.0756485 0.0211887 -0.747108 0.660044 815 228 219
1336387005.190801859 -3.07804 3.59194 0.234915 0.0749134 0.021446 -0.74559 0.661833 843 218 211
1336387005.290038824 -3.07982 3.59209 0.232526 0.0764647 0.0211124 -0.744557 0.66283 812 231 220
1336387005.389276028 -3.08878 3.58905 0.231642 0.0755742 0.0222748 -0.744078 0.663431 826 227 219
1336387005.488513947 -3.08945 3.58897 0.230259 0.0771283 0.0226746 -0.743844 0.663501 806 225 218
1336387005.587749958 -3.10036 3.58726 0.230976 0.0757028 0.0253702 -0.743994 0.663399 816 237 223
1336387005.686986923 -3.10635 3.58608 0.230505 0.0759141 0.0272222 -0.744057 0.663231 816 229 219
1336387005.786224842 -3.11213 3.58634 0.231275 0.0768325 0.0293899 -0.744177 0.662898 778 228 212
1336387005.885460854 -3.11911 3.58423 0.230969 0.0772493 0.0310824 -0.744455 0.66246 765 215 204
1336387005.984698057 -3.13555 3.58406 0.233073 0.0758508 0.0351109 -0.744806 0.662026 750 201 193
